content,rating,tokenized_content,sentiment
"Ngoại quan đẹp, màu đen nhám không bám vân tay. 
Logo chi tiết sắc sảo. 
Chức năng one-touch mượt mà. Tiki mà update thêm video bên cạnh hình thì mình sẽ up cho mn xem.
Chưa biết giữ nhiệt có như thông tin không nhưng lúc vặn nắp thì cảm giác rất chặt và êm, lực ma sát với ron cao su lớn nhưng không tạo tiếng kít khó chịu.
Trong hộp có kèm hướng dẫn sử dụng tiếng Hàn-Anh-Trung, chịu khó xem để biết cách thức đúng khi dùng và bảo quản sp. Trừ 1 sao vì không có tiếng Việt, làm khách hàng chưa có trải nghiệm tốt với sp.",4,ngoại quan đẹp đen nhám không bám vân logo chi_tiết sắc_sảo chức_năng one touch mượt_mà tiki update video cạnh hình up mn nhiệt thông_tin không vặn nắp cảm_giác chặt êm lực ma_sát ron cao_su lớn không tiếng kít khó_chịu hộp kèm hướng_dẫn sử_dụng tiếng hàn trung chịu_khó cách_thức đúng dùng bảo_quản sản_phẩm trừ 1 không tiếng việt khách_hàng trải nghiệm tốt sản_phẩm,Positive
"Bình đẹp ko trầy xước, khả năng giữ nhiệt để dùng một thời gian nữa xem sao. Điểm trừ là nhà bán gói hàng quá sơ sài, không chắc chắn. Nếu shipper mà ko cẩn thận thì bình sẽ dễ bị móp méo do va đập. Mong nhà bán cải thiện khâu đóng gói sản phẩm trước khi giao cho khách",4,bình đẹp không trầy_xước khả_năng nhiệt dùng thời_gian trừ gói hàng sơ_sài không chắc_chắn shiper không cẩn_thận bình dễ móp méo va_đập mong cải_thiện khâu đóng_gói sản_phẩm giao,Positive
"Mình rất hài lòng về sản phẩm cũng như dịch vụ của tiki: 
1. Sản phẩm nguyên vẹn, thiết kế đẹp, tiện lợi vì có cả quay xách chắc chắn, phù hợp văn phòng, đi chơi, mình thấy nắp vặn khá chắc để đảm bảo nhiệt không bị tỏa ra ngoài.
2. Dịch vụ gói hàng của tiki rất thân thiện môi trường, hầu như không sử dụng băng keo, túi nilong.
3. Tiki giao hàng nhanh hơn dự kiến 2 ngày, chị ship khu vực mình rất chu đáo và nhiệt tình..",5,hài_lòng sản_phẩm dịch_vụ tiki 1 sản_phẩm nguyên_vẹn thiết_kế đẹp tiện_lợi xách chắc_chắn phù_hợp văn_phòng đi nắp vặn đảm_bảo nhiệt không tỏa 2 dịch_vụ gói hàng tiki thân_thiện môi_trường hầu_như không sử_dụng băng_keo túi nilong 3 tiki giao hàng nhanh dự_kiến 2 ship khu_vực chu_đáo nhiệt_tình,Positive
"Tiki giao hàng nhanh, mail thông báo hàng đến là giao đúng trong ngày.. đánh giá cao về cách quản lý vận chuyển hàng hoá của Tiki.
Hàng mới nhận chưa sử dụng nên chưa đánh giá về chất lương nhưng về mẫu mã thì đúng như thông tin.. cầm chắc tay, màu sắc đẹp, inox 304, không có sét rỉ ở chỗ nào.. trong lòng bình sạch..
Tuy nhiền mặt ngoài bình vẫn còn 1 số vết bị trầy nhẹ chắc do vận chuyển( như trên hình chụp)
Còn chuyện sơn dễ trầy và tróc thì các bạn mua trước đã đánh giá rồi nên không có ý kiến..
Nói chung là hài lòng tronh đợt giảm giá.
Thank Tiki!!!",4,tiki giao hàng nhanh mail thông_báo hàng giao đúng đánh_giá quản_lý vận_chuyển hàng_hoá tiki hàng nhận sử_dụng đánh_giá chất lương mẫu_mã đúng thông_tin cầm_chắc_tay màu_sắc_đẹp inox 304 không sét rỉ lòng bình sạch nhiền mặt bình 1 vết trầy nhẹ vận_chuyển hình chụp sơn dễ trầy tróc mua đánh_giá không ý_kiến nói_chung hài_lòng tronh đợt giảm_giá cám_ơn tiki,Positive
bình khá đẹp.dùng lâu kb bị tróc sơn giống như những người dùng trước nhận xét không. bình nếu có thêm nắp uống nước dc luôn thì tốt.mấy loại bình to khoảng gần 1l của lock lock toàn không có nắp uống nước kèm theo. hy vọng lock and lock lắng nghe ý kiến người dùng.,5,bình đẹp dùng kb tróc sơn giống dùng nhận_xét không bình nắp uống nước tốt bình to 1l lock lock toàn không nắp uống nước kèm hy_vọng lock and lock lắng_nghe ý_kiến dùng,Positive
"Tưởng là loại bình nhỏ té ra lúc nhận to tổ chảng luôn. Bình có dây móc, nắp lọc bằng inox chứ không phải bằng nhựa như các series khác của LocknLock nên mình khá thích. Miệng bình rộng đủ để có thể cho đá viên vào. Do khá to nên để bên hông balo nhỏ có thể không vừa. Nói chung mình hài lòng về chất lượng và thiết kế.",5,tưởng bình nhỏ té_ra nhận to tổ chảng bình dây móc nắp lọc inox không nhựa series locknlock thích miệng bình rộng có_thể đá viên to hông balo nhỏ có_thể không nói_chung hài_lòng chất_lượng thiết_kế,Positive
"Mình nhận hàng đúng như miêu tả. Hàng mới và không bị mố hay bị trầy. Cầm rất chắc chắn và màu sắc nhìn rất chuyên nghiệp. Khi đặt trên bàn thì đứng vững do phần đế có cao su. Mình có thử để đá thì sau 24 tiếng phần đá còn 50%, sau 36 tiếng còn 20%. Rất hài lòng với sản phẩm này.",5,nhận hàng đúng miêu_tả hàng không mố hay trầy cầm chắc_chắn màu_sắc chuyên_nghiệp bàn đứng vững đế cao_su thử đá sau 24 tiếng đá 50 sau 36 tiếng 20 hài_lòng sản_phẩm,Positive
"Nhận hàng từ chiều tối ngày 29/12 đến hôm nay 31/12 mới mở ra xem.
+ Về ngoại hình sản phẩm khi nhận:
- Vỏ hộp nhăn nheo, nắp hộp bị rách do bóc quá nhiều.
- Nắp bình mở ra có vết xước ở phần nhựa của nắp.
=> chắc chắn hàng cũ
=> Mình có cảm giác như tiki ngày càng giao hàng tồn kho cho khách, ai lại mua sản phẩm mà muốn phải nhận được hàng cũ :(",2,nhận hàng chiều_tối_ngày 29 12 hôm_nay 31 12 ngoại_hình sản_phẩm nhận vỏ hộp nhăn_nheo nắp hộp rách bóc nắp bình vết xước nhựa nắp chắc_chắn hàng cũ cảm_giác tiki ngày_càng giao hàng tồn_kho ai_lại mua sản_phẩm nhận hàng cũ,Negative
"Mình mới mua đc 1 ngày.Hàng đúng như quảng cáo nhé.Bề mặt thép nhìn rất đẹp,khó trầy xước,mình làm rơi vài lần,không cao lắm,tầm 1 m thôi,không đựng nước gì bên trong thì trông nó vẫn thế.
Bình 800mm thì to hơn so với mình tưởng tượng.Cầm 1 tay thì sẽ không vừa.Nhưng mà thôi,được sale mà mua loại này là quá ngon rồi.",5,mua 1 hàng đúng quảng_cáo bề_mặt thép đẹp trầy_xước rơi không tầm 1 không đựng nước trông bình 800m to tưởng_tượng cầm 1 không sale mua ngon,Positive
"Hàng locknlock chất lượng okie, canh sale nữa nên mua đc giá 261.000. Mình *** giữ nóng ngày đầu, đổ nước sôi vào bình từ 4h chiều hôm trước đến 12h trưa hôm sau nước vẫn còn nóng lắm. Đựng nước trà uống từ sáng đến chiều trà vẫn nóng lắm. Mẫu mã đẹp, độ giữ nhiệt ko biết có bền theo thời gian không. Tại vì mình xài mấy bình locknlock trước thì giữ nóng tầm chưa tới 1 năm là bình xuống cấp, ko giữ nóng tốt đc nữa. Giá tiền vậy nên cũng thấy okie rồi, ko đòi hỏi. Nói chung hài lòng. Tiki ship nhanh thần tốc.",4,hàng locknlock chất_lượng ok canh sale mua giá 261 000 nóng đầu đổ nước sôi bình 4h chiều_hôm 12h trưa hôm sau nước nóng đựng nước trà uống chiều trà nóng mẫu_mã đẹp độ nhiệt không bền thời_gian không xài bình locknlock nóng tầm 1 bình xuống_cấp không nóng tốt giá tiền ok không đòi_hỏi nói_chung hài_lòng tiki ship nhanh thần_tốc,Positive
Thời gian giao hàng phải nói là rất lâu. Hơn 1 tháng trời nhưng không nhận được bất cứ thông tin thông báo hay phản hồi nào từ Tiki. Dù biết là do dịch nhưng ít ra cũng nên có phản hồi cho khách hàng biết về thông tin đơn hàng. Lúc nhận được kiện hàng thì lại càng tuột mood nữa nhưng may hàng bên trong chỉ trầy sơ.,4,thời_gian giao hàng 1 trời không nhận bất_cứ thông_tin thông_báo hay phản_hồi tiki dịch ít_ra cũng_nên phản_hồi khách_hàng thông_tin đơn hàng nhận kiện hàng tuột mod may hàng trầy sơ,Positive
"Chu choa khôn biết mình duyên nợ gì với Sunhouse không mà đồ nhà dùn chỉ thấy hàng của hãng! 
   Mình vào Tiki thấy này mọi người đánh gia thực tế quá nên chốt luôn mua combo hai cái luôn! Nhà mình cái,cho bố mẹ cái! Giao mùa nhiều muỗi! 
   Mình bóc hàng và tìm ngay một con muỗi thử nghiệm! Chu choa giật cả mình vì tiếng muỗi nổ to lắm luôn mọi người ạ! Trộm vía thử nghiệm hai cái ok! Pin đã sạc đầy đủ! Vợt cầm chắc tay không ẻo ẹt như vợt khác! Mới toanh sản xuất 2/2022. Màu sắc đẹp ! Hi vọng vợt sài bền đẹp thật lâu như nồi niu xoong chảo mình đã mua của Sunhouse trên Tiki!
   À giao hàng nhanh lắm nha các bác! Mê Tiki ghê! Nhà đang nhiều muỗi! Hihi",5,chu khôn duyên_nợ sunhouse không đồ dùn hàng hãng tiki đánh gia thực_tế chốt mua combo hai bố_mẹ giao mùa muỗi bóc hàng muỗi thử_nghiệm chu giật tiếng muỗi nổ to trộm_vía thử_nghiệm hai ok pin sạc đầy_đủ vợt cầm_chắc_tay không ẻo ẹt vợt mới_toanh sản_xuất 2 2022 màu_sắc_đẹp hi_vọng vợt sài bền đẹp nồi niu chảo mua sunhouse tiki giao hàng nhanh nha mê tiki ghê muỗi hihi,Positive
"Mua với giá khá rẻ so với một số loại khác. (Không có đèn pin, mà mình cũng chẳng cần.) 
Vừa mua về dùng ngay, sử dụng liên tục gần 1 tuần mới sạc lại. Vợt nhạy, nhưng dùng khoảng 5-6 ngày mình nghĩ nên sạc lại vì muỗi vợt lần đầu không chết ngay như ban đầu. 
Bảng vợt làm bằng cao su khá dẻo nên khi đập vào tường không sợ hư gãy.",4,mua giá rẻ một_số không đèn_pin chẳng mua dùng sử_dụng liên_tục 1 tuần sạc vợt nhạy dùng 5 6 sạc muỗi vợt đầu not-negative ban_đầu_bảng vợt làm_bằng cao_su dẻo đập tường không sợ hư gãy,Positive
Shop giao hàng nhanh và đóng gói rất cẩn thận. Mình đặt chiều hôm trước mà trưa hôm sau đã nhận được hàng. Tuy nhiên mình không hài lòng vì sản phẩn ghi là của Sunhouse nhưng mà đọc thương hiệu lại la một công ty của Trung Quốc sản xuất Sunhouse chỉ nhập khẩu và phân phối nên có cảm giác như Sunhouse lừa đảo khách hàng treo đầu dê bán thịt chó.,2,cửa_hàng giao hàng nhanh đóng_gói cẩn_thận chiều_hôm trưa hôm sau nhận hàng tuy_nhiên không hài_lòng sản phẩn ghi sunhouse đọc thương_hiệu la công_ty trung quốc sản_xuất sunhouse nhập_khẩu phân_phối cảm_giác sunhouse lừa_đảo khách_hàng treo đầu dê thịt chó,Negative
"Tôi mua 2 cái. 1 cái hoạt động tốt. Chiếc còn là không có tiếng nổ hoặc rất bé, tôi nghĩ là dòng điện không đủ mạnh nên còn nhìn thấy xác con muỗi mắc vào lưới. Tôi thấy tiếng nổ cũng quan trọng để nhận biết khu vực đó có nhiều muỗi hay không hay mình có quơ trúng mấy con muỗi không. Tôi muốn Tiki hỗ trợ thu hồi chiếc vợt lỗi và đổi cho tôi chiếc khác có được không ạ?

p.s.
mình có liên hệ để nhờ bộ phận hỗ trợ của TIKI thu hồi sản phẩm, đã được giao sản phẩm mới. để chắc ăn thì khi nhận hàng mọi người chụp lại quy cách đóng gói đơn hàng, mã đơn hàng và quay lại quá trình mở hàng. nếu sản phẩm lỗi thì cung cấp bằng chứng nhờ TIKI kiểm tra và đổi cho sản phẩm khác nếu lỗi do nhà sản xuất nha.",5,mua 2 1 hoạt_động tốt không tiếng nổ bé dòng_điện không xác muỗi mắc lưới tiếng nổ quan_trọng nhận_biết khu_vực muỗi hay không hay quơ trúng muỗi không tiki hỗ_trợ thu_hồi vợt lỗi đổi không p s liên_hệ bộ_phận hỗ_trợ tiki thu_hồi sản_phẩm giao sản_phẩm chắc_ăn nhận hàng chụp quy_cách đóng_gói đơn hàng_mã đơn hàng quá_trình mở_hàng sản_phẩm lỗi cung_cấp bằng_chứng tiki kiểm_tra đổi sản_phẩm lỗi sản_xuất nha,Positive
"Sản phẩm giao đến đã bị vỡ và rỉ sét, Tiki báo sẽ đến lấy lại hàng trong 2-3 ngày làm việc nhưng đến nay đã 1 tuần vẫn chưa thấy Tiki đến lấy hàng! Đã gọi tổng đài Tiki cũng chỉ báo sẽ giải quyết sớm mà không thấy đến!?!",1,sản_phẩm giao vỡ rỉ sét tiki báo hàng 2 3 làm_việc 1 tuần tiki hàng gọi tổng_đài tiki báo giải_quyết không,Negative
"Ngày đầu tiên thấy vẫn dùng được dù lưới có bị thủng, hàng rẻ nên thôi chấp nhận. Sau chừng 5p thì không dùng được nữa, nghĩ hết pin nên cắm sạc và nó tịt luôn đến giờ (3ngày) dù cây vợt vẫn mới nguyên, sạc vẫn hiện đèn. Của rẻ là của ôi mọi người cẩn thận",1,đầu_tiên dùng lưới thủng hàng rẻ chấp_nhận sau chừng 5p không dùng pin cắm sạc tịt 3ngày cây vợt nguyên sạc hiện đèn rẻ ôi cẩn_thận,Negative
chưa nhận được hàng. shipper báo ra chỗ shiper cách nhà mình 2km để nhận nếu k ra được thì sẽ trả hàng về shop. Trog khi trước giờ tất cả các dịch vụ khác đều giao tận nhà mình kể cả tiki.Mình k ra được nên báo giao hàng trả lại shop. tiki giao hàng k đúng hẹn trog thgian dịch này mình không phàn nàn nhưng thái độ và cách a giao hàng xử lý thì mình k đồng ý.  Đơn hàng này dùng mã km để mua chỉ thanh toán chưa dc 3k là nhận được sp thế mà mất luôn mã km mà k nhận dc hàng,1,nhận hàng shiper báo shiper 2km nhận k hàng cửa_hàng trog tất_cả dịch_vụ giao tận kể_cả tiki k báo giao hàng cửa_hàng tiki giao hàng k đúng hẹn trog thgian dịch không phàn_nàn thái_độ a giao hàng xử_lý k đồng_ý đơn hàng dùng mã km mua thanh_toán 3k nhận sản_phẩm thế_mà mã km k nhận hàng,Negative
"chỉ cho 4sao để nhà bán và người mua có chút lưu ý. nhà bán không có vấn đề gì, vấn đề là sản phẩm sunhouse này chả bắt dc con muỗi nào, do phần nhựa giữa 3 lớp lưới quá nhiều (sunhouse khoái quảng cáo lên mặt lưới điện) dẫn đến muỗi ko thể chạm vào cùng lúc với 2 luới - & + nên chả có vụ chạm nổ nào xảy ra. từ lúc mua về đến giờ bắt muỗi như đánh tennis chứ chả điện giựt gì..nãn với nhà sunhouse.",4,4sao mua chút lưu_ý không vấn_đề vấn_đề sản_phẩm sunhouse chả bắt muỗi nhựa 3 lớp lưới sunhouse khoái quảng_cáo lên_mặt lưới_điện muỗi không_thể chạm 2 luới chả vụ chạm nổ xảy mua bắt muỗi đánh tenis chả điện giựt nãn sunhouse,Positive
"Tôi mua vợt muỗi về dùng, hôm đầu mới mở ra tất tốt, bọc kỹ càng, Tiki đánh dấu hàng dễ vỡ, vợt mở ra cầm chắc tay, kêu to, có tem bảo hành. Nhưng được đúng 1 đêm, đến ngày thứ 2 tôi sử dụng thì không còn thấy kêu gì nữa mặc dù đèn vẫn lên. Tôi nghĩ do hết pin nên cắm sạc khoảng 10h để đảm bảo có đủ điện, nhưng kết quả vẫn vậy, vợt dùng không kêu, không biết còn sử dụng được không hay tôi không biết cách sử dụng. Mặc dù chính hãng Sunhouse và của Tiki Trading , tôi rất tin tưởng nhưng lần này thất vọng quá. Nhờ Tiki kiểm tra xem có đổi trả được sản phẩm hay không ?",2,mua vợt muỗi dùng hôm đầu tất tốt bọc kỹ_càng tiki đánh_dấu hàng dễ vỡ vợt cầm_chắc_tay kêu to tem bảo_hành đúng 1 đêm 2 sử_dụng không kêu mặc_dù đèn pin cắm sạc 10h đảm_bảo điện kết_quả vợt dùng không kêu không sử_dụng không hay không sử_dụng mặc_dù hãng sunhouse tiki trading tin_tưởng thất_vọng tiki kiểm_tra đổi sản_phẩm hay không,Negative
"vợt dùng khá tốt tuần đầu tiên, muỗi nổ tanh tách nghe giật cả mình, nhưng chỉ đc 1 tuần rồi chả hiểu sao l dùng đc nữa, đèn vẫn sáng mà như điện ko vào lưới ấy, chắc là tiếp xúc dây trong vợt kém làm điện k vào",2,vợt dùng tốt tuần đầu_tiên muỗi nổ tanh_tách giật 1 tuần chả l dùng đèn điện không lưới tiếp_xúc dây vợt kém điện k,Negative
"nằm êm, không bị lạnh sống lưng khi nằm đất. Sản phẩm giao nhanh, tốt, hợp túi tiền.",5,nằm êm không lạnh sống_lưng nằm đất sản_phẩm giao nhanh tốt hợp túi_tiền,Positive
"Giao hàng nhanh, sản phẩm hơi mỏng. Nhưng phù hợp giá tiền.",4,giao hàng nhanh sản_phẩm mỏng phù_hợp giá tiền,Positive
"chiếu rộng thoải mái, thích hợp dùng trong văn phòng",5,chiếu rộng thoải_mái thích_hợp dùng văn_phòng,Positive
Tuyệt vời!!!,5,tuyệt_vời,Positive
Giao nhanh lắm ạ,5,giao nhanh,Positive
"chất lượng tốt, tiki now 30p nhận hàng",5,chất_lượng tốt tiki now 30p nhận hàng,Positive
Đáng tiền,5,đáng tiền,Positive
"sản phẩm ok, nằm ấm lưng",5,sản_phẩm ok nằm ấm lưng,Positive
"Nằm nghe tiếng xoàng xoạc,",3,nằm tiếng xoàng xoạc,Negative
"Sản phẩm đẹp, tổng thể thiết kế rất ưng.
Mình mua màu sơn xanh navy nhám, trọng lượng cầm khá chắc tay. Tay cầm dày và chắc chắn, có lớp chống va chạm vào thân ly tránh trầy xước. Đế chống ồn và chống trượt để khá chắc chắn.
Hộp sản phẩm có tờ HDSD (tiếng Hàn, Anh, Trung), đáy hộp có HDSD tiếng Việt và thông tin xuất xứ, nhập khẩu khá rõ ràng.
Là một sản phẩm rất đáng mua trong các đợt giảm giá của Tiki trading.",5,sản_phẩm đẹp tổng_thể thiết_kế ưng mua sơn xanh navy nhám trọng_lượng cầm chắc_tay tay_cầm dày chắc_chắn lớp chống va_chạm thân ly trầy_xước đế chống ồn chống trượt chắc_chắn hộp sản_phẩm tờ hdsd tiếng hàn trung đáy hộp hdsd tiếng việt thông_tin xuất_xứ nhập_khẩu rõ_ràng sản_phẩm đáng mua đợt giảm_giá tiki trading,Positive
"Đựng nước nóng thì 6 tiếng đã nguội thành nc ấm vừa đủ uống rồi. Miệng cốc sẽ rất nóng nên thoát nhiệt nhanh.
Đựng đá thì giữ lạnh 8 tiếng chỉ tan khoảng 10-20%.
Miệng cốc sẽ ko kín như bình nước được, nếu dốc ngược bình hoặc để nằm ngang thì nước sẽ rò ra tại phần xoay cốc một chút (nước nóng thì thành giọt nhỏ, nước đá thì thoát mồ hôi li ti).
Mình nghĩ đây là thiết kế hợp lý ở nơi làm việc. Nếu ra ngoài thì vẫn nên có túi đựng cốc.
Giao hàng nhanh (freeship và giao trong nửa ngày). Cốc nguyên vẹn và ko xước.",5,đựng nước nóng 6 tiếng nguội thành nc ấm uống miệng cốc nóng thoát nhiệt nhanh đựng đá lạnh 8 tiếng tan 10 20 miệng cốc không kín bình nước dốc ngược bình nằm ngang nước rò xoay cốc một_chút nước nóng thành giọt nhỏ nước_đá thoát mồ_hôi li_ti thiết_kế hợp_lý làm_việc túi đựng cốc giao hàng nhanh freship giao nửa cốc nguyên_vẹn không xước,Positive
"Những lần trước mua hàng ở Tiki rất yên tâm. Mùa dịch này mình đặt hàng ở Tiki nhận trễ hơn hơn dự kiến cũng khá lâu vì vận chuyển khó khăn nên không có ý kiến gì. Nhưng đợt này nhận được 2 món bị lỗi liên tục. Món hàng đầu tiên đã được Tiki thu hồi và chờ đổi. Bình nước bị móp, khuyết 1 lỗ và rỉ sét. Hi vọng Tiki phản hồi lại về việc đổi trả. Cảm ơn Tiki.",1,mua hàng tiki yên_tâm mùa dịch đặt_hàng tiki nhận trễ dự_kiến vận_chuyển khó_khăn không ý_kiến đợt nhận 2 món lỗi liên_tục món hàng_đầu_tiên tiki thu_hồi chờ đổi bình nước móp khuyết 1 lỗ rỉ sét hi_vọng tiki phản_hồi đổi cảm_ơn tiki,Negative
